Index,Car Name,Color,Model Year,Mileage (kmpl),Fuel Type,Transmission,Engine CC,Number of Seats,Current Price (lakhs)
1,Maruti Alto,Orange,2017,16,Diesel,Manual,1984,5,14.5
2,Honda City,Brown,2017,17,Diesel,Manual,1500,7,49.7
3,Honda City,Silver,2018,16,Petrol,Manual,1400,5,42.8
4,Tata Nexon,Grey,2017,23,Diesel,Manual,1984,7,29.3
5,Kia Seltos,Brown,2018,24,Petrol,Manual,1995,7,5.5
6,Ford EcoSport,White,2022,12,Petrol,Manual,1200,5,53.6
7,Ford EcoSport,Orange,2022,24,Petrol,Automatic,1400,7,53.9
8,Toyota Innova,Red,2022,16,Petrol,Manual,800,5,25.1
9,BMW X1,Grey,2018,20,Diesel,Manual,1498,7,54.6
10,Mahindra XUV500,Orange,2019,12,Petrol,Manual,800,7,16.6
11,Honda City,Silver,2022,18,Petrol,Automatic,800,7,22.3
12,Maruti Alto,Yellow,2017,22,Diesel,Automatic,1498,5,18.9
13,Tata Nexon,Yellow,2018,13,Petrol,Manual,800,5,54.0
14,Tata Nexon,Black,2018,16,Diesel,Manual,1400,7,46.9
15,Tata Nexon,Orange,2016,12,Diesel,Automatic,1200,7,22.1
16,BMW X1,Blue,2019,10,Petrol,Manual,2179,5,38.7
17,Mahindra XUV500,Black,2021,15,Petrol,Manual,1500,5,19.0
18,BMW X1,Blue,2020,16,Petrol,Manual,2179,5,19.9
19,Kia Seltos,Red,2019,17,Diesel,Automatic,1500,5,9.0
20,Tata Nexon,Green,2017,17,Diesel,Automatic,2179,5,42.8
21,Honda City,Red,2017,23,Petrol,Manual,2179,7,19.0
22,Ford EcoSport,Yellow,2018,22,Diesel,Automatic,1200,5,48.6
23,Mahindra XUV500,Brown,2016,12,Petrol,Automatic,1200,7,11.2
24,Honda City,Green,2021,19,Petrol,Manual,2179,5,53.0
25,Kia Seltos,Blue,2015,18,Diesel,Automatic,1500,5,15.1
26,Mahindra XUV500,Brown,2015,12,Petrol,Automatic,2400,5,20.6
27,Ford EcoSport,Silver,2016,16,Petrol,Manual,1500,5,25.4
28,Audi Q5,Silver,2016,10,Diesel,Manual,800,5,40.2
29,Hyundai i20,Green,2017,24,Diesel,Automatic,800,5,54.9
30,Toyota Innova,Grey,2022,22,Diesel,Automatic,800,7,39.9
31,Audi Q5,White,2016,11,Petrol,Automatic,1995,5,11.1
32,Toyota Innova,Green,2018,16,Diesel,Automatic,1500,5,17.9
33,Mahindra XUV500,Green,2021,20,Petrol,Manual,2179,5,34.5
34,Audi Q5,Yellow,2020,12,Petrol,Manual,1995,7,3.6
35,Mahindra XUV500,Green,2022,21,Petrol,Manual,2400,5,36.4
36,Audi Q5,Black,2015,22,Petrol,Manual,800,5,25.0
37,Hyundai i20,Orange,2022,23,Diesel,Manual,1500,7,33.7
38,BMW X1,Yellow,2019,19,Diesel,Automatic,1984,5,51.1
39,BMW X1,Silver,2016,19,Petrol,Automatic,1984,5,8.9
40,Toyota Innova,Yellow,2019,11,Diesel,Automatic,1200,5,45.6
41,Tata Nexon,Yellow,2022,15,Petrol,Automatic,1498,5,45.4
42,Ford EcoSport,Green,2016,18,Diesel,Automatic,2400,5,8.5
43,BMW X1,Orange,2017,11,Petrol,Automatic,1400,7,19.1
44,Honda City,Black,2021,10,Petrol,Manual,1500,7,42.4
45,Ford EcoSport,Grey,2022,10,Petrol,Automatic,2179,7,42.3
46,BMW X1,Green,2015,20,Petrol,Manual,1995,7,50.0
47,Toyota Innova,Blue,2018,22,Diesel,Automatic,1200,5,33.0
48,Toyota Innova,Silver,2018,11,Diesel,Automatic,2400,5,32.9
49,Maruti Alto,Black,2020,14,Diesel,Manual,1498,7,43.5
50,Honda City,White,2022,18,Petrol,Manual,1498,5,5.1
51,BMW X1,White,2020,20,Petrol,Manual,1984,7,52.5
52,Mahindra XUV500,Green,2021,11,Petrol,Automatic,1200,7,24.7
53,Maruti Alto,White,2017,10,Petrol,Manual,1995,7,31.3
54,Hyundai i20,Yellow,2021,13,Diesel,Manual,2179,7,25.9
55,Maruti Alto,Yellow,2016,11,Diesel,Automatic,1200,7,52.7
56,Honda City,Brown,2015,18,Petrol,Automatic,2400,7,15.2
57,BMW X1,Orange,2015,21,Petrol,Manual,1500,5,38.2
58,Ford EcoSport,Silver,2022,24,Petrol,Automatic,1200,7,39.9
59,Audi Q5,Brown,2018,15,Petrol,Manual,1995,7,23.3
60,BMW X1,Brown,2017,18,Petrol,Automatic,1500,7,43.1
61,Honda City,Brown,2017,16,Diesel,Automatic,2400,7,50.0
62,Hyundai i20,Blue,2021,23,Diesel,Automatic,1984,5,32.7
63,Maruti Alto,Red,2015,21,Diesel,Manual,1200,7,23.6
64,Maruti Alto,White,2021,22,Diesel,Automatic,2179,5,18.5
65,Maruti Alto,Grey,2019,13,Diesel,Manual,800,5,33.8
66,Audi Q5,Grey,2018,20,Diesel,Automatic,1995,7,12.4
67,Kia Seltos,Brown,2019,15,Diesel,Manual,2179,5,25.3
68,Hyundai i20,White,2019,11,Petrol,Automatic,1400,7,7.1
69,Audi Q5,Orange,2015,24,Diesel,Manual,2400,5,23.3
70,Toyota Innova,Green,2020,11,Petrol,Automatic,2179,7,36.3
71,Audi Q5,Yellow,2021,21,Petrol,Manual,2179,5,39.3
72,Maruti Alto,Green,2022,17,Petrol,Automatic,1400,7,29.3
73,Toyota Innova,Black,2017,14,Petrol,Automatic,1498,5,25.1
74,Maruti Alto,Blue,2016,17,Diesel,Manual,1200,7,34.9
75,Honda City,Black,2019,18,Diesel,Manual,1500,7,47.6
76,Toyota Innova,Black,2015,22,Petrol,Manual,2179,5,30.8
77,Toyota Innova,Black,2021,15,Diesel,Manual,2179,5,18.2
78,Audi Q5,Orange,2018,16,Diesel,Automatic,1995,7,45.1
79,BMW X1,White,2015,13,Petrol,Manual,2179,7,25.0
80,Hyundai i20,Orange,2019,18,Diesel,Automatic,2179,5,5.5
81,Audi Q5,Red,2018,15,Diesel,Automatic,2400,5,29.2
82,Mahindra XUV500,White,2020,21,Petrol,Automatic,1498,7,54.2
83,Mahindra XUV500,Orange,2021,11,Petrol,Automatic,1498,7,24.7
84,Toyota Innova,Yellow,2022,20,Petrol,Manual,800,7,26.6
85,Tata Nexon,Green,2022,21,Petrol,Automatic,1200,5,24.2
86,Maruti Alto,Orange,2017,20,Petrol,Automatic,1984,5,19.2
87,Audi Q5,Red,2019,19,Diesel,Manual,1200,7,9.3
88,Hyundai i20,White,2021,23,Diesel,Automatic,1498,5,18.4
89,Audi Q5,Blue,2015,16,Petrol,Manual,1984,7,14.2
90,Honda City,Blue,2022,20,Diesel,Automatic,2400,7,36.7
91,Kia Seltos,Silver,2017,14,Diesel,Manual,1500,5,16.6
92,Audi Q5,Red,2017,16,Petrol,Automatic,1200,7,23.6
93,Ford EcoSport,Grey,2015,14,Diesel,Manual,1984,5,54.5
94,Maruti Alto,White,2021,13,Diesel,Automatic,1984,7,27.4
95,Tata Nexon,Blue,2016,12,Diesel,Automatic,1995,7,35.2
96,Honda City,Red,2019,15,Diesel,Automatic,2400,5,30.4
97,Maruti Alto,Yellow,2021,23,Diesel,Automatic,800,7,40.6
98,Ford EcoSport,Green,2017,13,Petrol,Automatic,2400,5,15.6
99,Maruti Alto,White,2019,14,Petrol,Manual,1200,5,27.1
100,Tata Nexon,Blue,2021,15,Petrol,Automatic,1400,5,34.0
101,Toyota Innova,Brown,2022,12,Petrol,Automatic,2179,5,21.7
102,Mahindra XUV500,Grey,2020,15,Petrol,Manual,800,7,17.8
103,Maruti Alto,Silver,2015,10,Diesel,Manual,1500,7,37.7
104,Maruti Alto,Brown,2016,12,Petrol,Automatic,2179,5,40.7
105,Hyundai i20,Green,2016,17,Diesel,Automatic,1984,5,24.3
106,Ford EcoSport,Brown,2022,12,Diesel,Automatic,800,7,7.1
107,Mahindra XUV500,Brown,2018,20,Petrol,Automatic,1995,7,48.0
108,Mahindra XUV500,Silver,2019,21,Diesel,Manual,2400,5,12.2
109,BMW X1,Grey,2018,18,Diesel,Automatic,2179,7,11.2
110,BMW X1,Blue,2016,14,Diesel,Manual,1400,5,11.5
111,Ford EcoSport,Silver,2016,17,Diesel,Automatic,1498,7,28.2
112,Kia Seltos,Silver,2019,12,Petrol,Manual,800,7,30.5
113,Mahindra XUV500,Green,2017,14,Petrol,Manual,1498,5,13.6
114,Honda City,Brown,2019,17,Diesel,Automatic,2400,7,53.3
115,Kia Seltos,Grey,2020,23,Diesel,Automatic,800,7,41.2
116,Toyota Innova,Red,2021,14,Petrol,Automatic,1984,5,49.3
117,BMW X1,Grey,2015,11,Diesel,Manual,1984,7,42.6
118,Hyundai i20,Red,2019,17,Diesel,Automatic,1984,7,39.4
119,Hyundai i20,Brown,2018,17,Diesel,Automatic,2179,5,34.7
120,Honda City,Yellow,2020,18,Diesel,Automatic,2400,5,54.0
121,Maruti Alto,Grey,2018,17,Diesel,Manual,800,7,16.6
122,Ford EcoSport,Blue,2018,15,Petrol,Automatic,2400,7,6.0
123,Audi Q5,Silver,2019,15,Petrol,Automatic,2179,5,22.4
124,Kia Seltos,Red,2019,20,Diesel,Automatic,800,7,21.7
125,Hyundai i20,Green,2017,10,Petrol,Manual,2400,7,23.3
126,Hyundai i20,Blue,2015,14,Diesel,Automatic,2179,7,43.3
127,Ford EcoSport,Grey,2015,24,Diesel,Automatic,2179,5,6.0
128,Maruti Alto,Yellow,2021,19,Petrol,Manual,2179,5,3.7
129,Hyundai i20,Green,2021,14,Diesel,Automatic,1498,7,44.7
130,Audi Q5,Silver,2015,20,Diesel,Manual,1200,7,22.5
131,Tata Nexon,Brown,2020,15,Diesel,Automatic,1498,5,13.9
132,Toyota Innova,Brown,2015,24,Diesel,Automatic,2400,5,33.1
133,Hyundai i20,White,2018,13,Diesel,Automatic,1498,7,18.0
134,Mahindra XUV500,Yellow,2017,16,Petrol,Automatic,1200,5,18.5
135,Ford EcoSport,Blue,2020,11,Petrol,Manual,2179,7,42.6
136,Mahindra XUV500,White,2022,20,Diesel,Automatic,2400,7,5.8
137,Toyota Innova,Green,2016,12,Diesel,Manual,2400,5,49.0
138,Kia Seltos,Silver,2022,11,Diesel,Manual,800,5,23.5
139,Audi Q5,Orange,2017,15,Diesel,Automatic,1400,7,23.1
140,Maruti Alto,Brown,2022,11,Diesel,Manual,1995,7,33.1
141,Tata Nexon,Red,2019,22,Diesel,Automatic,2400,5,12.3
142,Mahindra XUV500,Yellow,2018,14,Diesel,Manual,1498,5,47.1
143,Mahindra XUV500,Grey,2022,22,Petrol,Manual,1498,7,31.9
144,Honda City,Grey,2018,10,Petrol,Manual,1400,7,33.6
145,Tata Nexon,Blue,2020,19,Petrol,Manual,2179,5,23.5
146,Tata Nexon,Green,2017,16,Diesel,Manual,1984,5,44.9
147,Tata Nexon,Black,2015,10,Diesel,Automatic,1400,7,34.4
148,Toyota Innova,Yellow,2017,10,Diesel,Automatic,1498,5,20.2
149,Maruti Alto,Grey,2015,13,Petrol,Automatic,1500,5,40.1
150,Maruti Alto,Green,2020,21,Petrol,Manual,1500,7,50.5
151,Honda City,Silver,2021,24,Petrol,Automatic,1995,7,32.4
152,Tata Nexon,Brown,2019,22,Petrol,Automatic,1995,5,3.8
153,Hyundai i20,Red,2022,18,Diesel,Manual,1984,7,19.8
154,Mahindra XUV500,Black,2017,20,Diesel,Manual,2400,7,54.1
155,Mahindra XUV500,Yellow,2020,22,Petrol,Manual,1984,5,32.0
156,Hyundai i20,Black,2020,24,Diesel,Manual,800,7,13.5
157,Toyota Innova,Green,2016,18,Petrol,Automatic,2400,5,10.0
158,Tata Nexon,Red,2021,14,Petrol,Manual,1984,7,53.3
159,Ford EcoSport,Orange,2017,24,Diesel,Manual,1498,7,42.6
160,Audi Q5,Black,2021,24,Petrol,Automatic,1995,7,39.1
161,Tata Nexon,Yellow,2016,20,Petrol,Automatic,2400,5,36.7
162,Toyota Innova,Silver,2021,15,Diesel,Automatic,1995,7,47.4
163,Audi Q5,Orange,2020,15,Diesel,Manual,1400,5,24.1
164,Ford EcoSport,White,2017,18,Diesel,Automatic,1995,7,15.2
165,Hyundai i20,Green,2015,16,Petrol,Manual,2179,5,36.5
166,Ford EcoSport,Orange,2018,11,Diesel,Manual,1200,5,48.7
167,Kia Seltos,Orange,2018,10,Diesel,Manual,1995,7,10.6
168,Hyundai i20,Blue,2016,11,Petrol,Manual,2400,7,9.1
169,Audi Q5,Brown,2021,24,Diesel,Manual,2179,7,23.6
170,Mahindra XUV500,Orange,2015,21,Petrol,Manual,1995,7,51.1
171,Maruti Alto,Brown,2017,23,Petrol,Automatic,1500,7,51.4
172,Hyundai i20,Green,2020,19,Diesel,Manual,1995,7,23.9
173,Maruti Alto,Brown,2015,16,Petrol,Manual,1400,7,15.5
174,Mahindra XUV500,Orange,2022,22,Diesel,Automatic,1984,5,12.5
175,Audi Q5,Black,2015,13,Petrol,Automatic,1500,5,5.0
176,Toyota Innova,Blue,2019,19,Diesel,Automatic,2400,7,11.7
